s 36 | P(Si): 0.0027999878 | -log2(P(Si)): 8.4803637472 | Entropy: 0.0237449150  | Codeword: 0011010 | CodeLength: 7 | AVG.Length: 0.0195999146 
s 37 | P(Si): 0.0027465820 | -log2(P(Si)): 8.5081469037 | Entropy: 0.0233683234  | Codeword: 0011000 | CodeLength: 7 | AVG.Length: 0.0192260742 
s 38 | P(Si): 0.0026321411 | -log2(P(Si)): 8.5695474483 | Entropy: 0.0225562582  | Codeword: 0010100 | CodeLength: 7 | AVG.Length: 0.0184249878 
s 39 | P(Si): 0.0026054382 | -log2(P(Si)): 8.5842582317 | Entropy: 0.0223657546  | Codeword: 10110101 | CodeLength: 8 | AVG.Length: 0.0208435059 
s 40 | P(Si): 0.0023651123 | -log2(P(Si)): 8.7238755947 | Entropy: 0.0206329455  | Codeword: 01011011 | CodeLength: 8 | AVG.Length: 0.0189208984 
s 41 | P(Si): 0.0021629333 | -log2(P(Si)): 8.8527950751 | Entropy: 0.0191480057  | Codeword: 00011110 | CodeLength: 8 | AVG.Length: 0.0173034668 
s 42 | P(Si): 0.0020599365 | -log2(P(Si)): 8.9231844029 | Entropy: 0.0183811935  | Codeword: 00010111 | CodeLength: 8 | AVG.Length: 0.0164794922 
s 43 | P(Si): 0.0020370483 | -log2(P(Si)): 8.9393040683 | Entropy: 0.0182097945  | Codeword: 00010110 | CodeLength: 8 | AVG.Length: 0.0162963867 
s 44 | P(Si): 0.0020179749 | -log2(P(Si)): 8.9528760879 | Entropy: 0.0180666788  | Codeword: 00010001 | CodeLength: 8 | AVG.Length: 0.0161437988 
s 45 | P(Si): 0.0018196106 | -log2(P(Si)): 9.1021545440 | Entropy: 0.0165623769  | Codeword: 00000001 | CodeLength: 8 | AVG.Length: 0.0145568848 
s 46 | P(Si): 0.0018157959 | -log2(P(Si)): 9.1051822367 | Entropy: 0.0165331526  | Codeword: 00000000 | CodeLength: 8 | AVG.Length: 0.0145263672 
s 47 | P(Si): 0.0018157959 | -log2(P(Si)): 9.1051822367 | Entropy: 0.0165331526  | Codeword: 11000101 | CodeLength: 8 | AVG.Length: 0.0145263672 
s 48 | P(Si): 0.0015830994 | -log2(P(Si)): 9.3030324738 | Entropy: 0.0147276248  | Codeword: 10010001 | CodeLength: 8 | AVG.Length: 0.0126647949 
s 49 | P(Si): 0.0015449524 | -log2(P(Si)): 9.3382219022 | Entropy: 0.0144271083  | Codeword: 10010000 | CodeLength: 8 | AVG.Length: 0.0123596191 
s 50 | P(Si): 0.0015296936 | -log2(P(Si)): 9.3525415735 | Entropy: 0.0143065230  | Codeword: 01010111 | CodeLength: 8 | AVG.Length: 0.0122375488 
s 51 | P(Si): 0.0014686584 | -log2(P(Si)): 9.4112853644 | Entropy: 0.0138219638  | Codeword: 01010100 | CodeLength: 8 | AVG.Length: 0.0117492676 
s 52 | P(Si): 0.0014114380 | -log2(P(Si)): 9.4686185395 | Entropy: 0.0133643679  | Codeword: 00110110 | CodeLength: 8 | AVG.Length: 0.0112915039 
s 53 | P(Si): 0.0013885498 | -log2(P(Si)): 9.4922053598 | Entropy: 0.0131803999  | Codeword: 00110011 | CodeLength: 8 | AVG.Length: 0.0111083984 
s 54 | P(Si): 0.0013656616 | -log2(P(Si)): 9.5161842227 | Entropy: 0.0129958876  | Codeword: 00101011 | CodeLength: 8 | AVG.Length: 0.0109252930 
s 55 | P(Si): 0.0012512207 | -log2(P(Si)): 9.6424479954 | Entropy: 0.0120648306  | Codeword: 101101000 | CodeLength: 9 | AVG.Length: 0.0112609863 
s 56 | P(Si): 0.0012435913 | -log2(P(Si)): 9.6512718458 | Entropy: 0.0120022378  | Codeword: 101100011 | CodeLength: 9 | AVG.Length: 0.0111923218 
s 57 | P(Si): 0.0011482239 | -log2(P(Si)): 9.7663803232 | Entropy: 0.0112139911  | Codeword: 010110100 | CodeLength: 9 | AVG.Length: 0.0103340149 
s 58 | P(Si): 0.0010948181 | -log2(P(Si)): 9.8350930733 | Entropy: 0.0107676381  | Codeword: 000111110 | CodeLength: 9 | AVG.Length: 0.0098533630 
s 59 | P(Si): 0.0010910034 | -log2(P(Si)): 9.8401286632 | Entropy: 0.0107356140  | Codeword: 000111011 | CodeLength: 9 | AVG.Length: 0.0098190308 
s 60 | P(Si): 0.0009689331 | -log2(P(Si)): 10.0113153132 | Entropy: 0.0097002948  | Codeword: 000000111 | CodeLength: 9 | AVG.Length: 0.0087203979 
s 61 | P(Si): 0.0009307861 | -log2(P(Si)): 10.0692626624 | Entropy: 0.0093723301  | Codeword: 000000101 | CodeLength: 9 | AVG.Length: 0.0083770752 
s 62 | P(Si): 0.0008811951 | -log2(P(Si)): 10.1482509586 | Entropy: 0.0089425887  | Codeword: 110001000 | CodeLength: 9 | AVG.Length: 0.0079307556 
s 63 | P(Si): 0.0008506775 | -log2(P(Si)): 10.1991001001 | Entropy: 0.0086761449  | Codeword: 100111011 | CodeLength: 9 | AVG.Length: 0.0076560974 
s 64 | P(Si): 0.0008316040 | -log2(P(Si)): 10.2318156752 | Entropy: 0.0085088189  | Codeword: 100111000 | CodeLength: 9 | AVG.Length: 0.0074844360 
s 65 | P(Si): 0.0008201599 | -log2(P(Si)): 10.2518071504 | Entropy: 0.0084081213  | Codeword: 100101011 | CodeLength: 9 | AVG.Length: 0.0073814392 
s 66 | P(Si): 0.0008201599 | -log2(P(Si)): 10.2518071504 | Entropy: 0.0084081213  | Codeword: 100101010 | CodeLength: 9 | AVG.Length: 0.0073814392 
s 67 | P(Si): 0.0007896423 | -log2(P(Si)): 10.3065130425 | Entropy: 0.0081384590  | Codeword: 100101000 | CodeLength: 9 | AVG.Length: 0.0071067810 
s 68 | P(Si): 0.0007476807 | -log2(P(Si)): 10.3852901559 | Entropy: 0.0077648806  | Codeword: 010101100 | CodeLength: 9 | AVG.Length: 0.0067291260 
s 69 | P(Si): 0.0007362366 | -log2(P(Si)): 10.4075429627 | Entropy: 0.0076624138  | Codeword: 010101011 | CodeLength: 9 | AVG.Length: 0.0066261292 
s 70 | P(Si): 0.0006980896 | -log2(P(Si)): 10.4843001617 | Entropy: 0.0073189809  | Codeword: 001100101 | CodeLength: 9 | AVG.Length: 0.0062828064 
s 71 | P(Si): 0.0006523132 | -log2(P(Si)): 10.5821474851 | Entropy: 0.0069028748  | Codeword: 001010100 | CodeLength: 9 | AVG.Length: 0.0058708191 
s 72 | P(Si): 0.0006141663 | -log2(P(Si)): 10.6690831219 | Entropy: 0.0065525909  | Codeword: 1011000101 | CodeLength: 10 | AVG.Length: 0.0061416626 
s 73 | P(Si): 0.0006103516 | -log2(P(Si)): 10.6780719051 | Entropy: 0.0065173779  | Codeword: 1011000011 | CodeLength: 10 | AVG.Length: 0.0061035156 
s 74 | P(Si): 0.0006103516 | -log2(P(Si)): 10.6780719051 | Entropy: 0.0065173779  | Codeword: 1011000010 | CodeLength: 10 | AVG.Length: 0.0061035156 
s 75 | P(Si): 0.0005798340 | -log2(P(Si)): 10.7520724866 | Entropy: 0.0062344170  | Codeword: 0101101011 | CodeLength: 10 | AVG.Length: 0.0057983398 
s 76 | P(Si): 0.0005760193 | -log2(P(Si)): 10.7615952607 | Entropy: 0.0061988864  | Codeword: 0101101010 | CodeLength: 10 | AVG.Length: 0.0057601929 
s 77 | P(Si): 0.0005378723 | -log2(P(Si)): 10.8604486476 | Entropy: 0.0058415347  | Codeword: 0001110101 | CodeLength: 10 | AVG.Length: 0.0053787231 
s 78 | P(Si): 0.0005302429 | -log2(P(Si)): 10.8810589273 | Entropy: 0.0057696045  | Codeword: 0001110100 | CodeLength: 10 | AVG.Length: 0.0053024292 
s 79 | P(Si): 0.0005302429 | -log2(P(Si)): 10.8810589273 | Entropy: 0.0057696045  | Codeword: 0001110011 | CodeLength: 10 | AVG.Length: 0.0053024292 
s 80 | P(Si): 0.0005073547 | -log2(P(Si)): 10.9447175645 | Entropy: 0.0055528543  | Codeword: 0001110001 | CodeLength: 10 | AVG.Length: 0.0050735474 
s 81 | P(Si): 0.0005035400 | -log2(P(Si)): 10.9556058806 | Entropy: 0.0055165862  | Codeword: 0001110000 | CodeLength: 10 | AVG.Length: 0.0050354004 
s 82 | P(Si): 0.0004539490 | -log2(P(Si)): 11.1051822367 | Entropy: 0.0050411861  | Codeword: 0000001000 | CodeLength: 10 | AVG.Length: 0.0045394897 
s 83 | P(Si): 0.0004501343 | -log2(P(Si)): 11.1173569506 | Entropy: 0.0050043034  | Codeword: 1100010011 | CodeLength: 10 | AVG.Length: 0.0045013428 
s 84 | P(Si): 0.0004386902 | -log2(P(Si)): 11.1545099491 | Entropy: 0.0048933740  | Codeword: 1100010010 | CodeLength: 10 | AVG.Length: 0.0043869019 
s 85 | P(Si): 0.0004196167 | -log2(P(Si)): 11.2186402865 | Entropy: 0.0047075288  | Codeword: 1001110011 | CodeLength: 10 | AVG.Length: 0.0041961670 
s 86 | P(Si): 0.0004043579 | -log2(P(Si)): 11.2720795454 | Entropy: 0.0045579545  | Codeword: 1001010011 | CodeLength: 10 | AVG.Length: 0.0040435791 
s 87 | P(Si): 0.0003814697 | -log2(P(Si)): 11.3561438102 | Entropy: 0.0043320251  | Codeword: 0101011011 | CodeLength: 10 | AVG.Length: 0.0038146973 
s 88 | P(Si): 0.0003700256 | -log2(P(Si)): 11.4000871578 | Entropy: 0.0042183245  | Codeword: 0101010101 | CodeLength: 10 | AVG.Length: 0.0037002563 
s 89 | P(Si): 0.0003662109 | -log2(P(Si)): 11.4150374993 | Entropy: 0.0041803116  | Codeword: 0101010100 | CodeLength: 10 | AVG.Length: 0.0036621094 
s 90 | P(Si): 0.0003623962 | -log2(P(Si)): 11.4301443917 | Entropy: 0.0041422414  | Codeword: 0011011101 | CodeLength: 10 | AVG.Length: 0.0036239624 
s 91 | P(Si): 0.0003433228 | -log2(P(Si)): 11.5081469037 | Entropy: 0.0039510087  | Codeword: 0011001001 | CodeLength: 10 | AVG.Length: 0.0034332275 
s 92 | P(Si): 0.0003356934 | -log2(P(Si)): 11.5405683814 | Entropy: 0.0038740922  | Codeword: 0011001000 | CodeLength: 10 | AVG.Length: 0.0033569336 
s 93 | P(Si): 0.0003356934 | -log2(P(Si)): 11.5405683814 | Entropy: 0.0038740922  | Codeword: 0010101011 | CodeLength: 10 | AVG.Length: 0.0033569336 
s 94 | P(Si): 0.0003166199 | -log2(P(Si)): 11.6249605687 | Entropy: 0.0036806935  | Codeword: 10110100110 | CodeLength: 11 | AVG.Length: 0.0034828186 
s 95 | P(Si): 0.0003166199 | -log2(P(Si)): 11.6249605687 | Entropy: 0.0036806935  | Codeword: 10110100101 | CodeLength: 11 | AVG.Length: 0.0034828186 
s 96 | P(Si): 0.0003089905 | -log2(P(Si)): 11.6601499971 | Entropy: 0.0036028753  | Codeword: 10110100100 | CodeLength: 11 | AVG.Length: 0.0033988953 
